athlete_name,country
Muhammad Ali,U.S.
Don Bradman,Australia
Michael Jordan,U.S.
Tiger Woods,U.S.
Rod Laver,Australia
Pele,Brazil
Roger Federer,Switzerland
Carl Lewis,U.S.[1]
Lance Armstrong,U.S.
Michael Phelps,U.S.
Ayrton Senna,Brazil
Emil Zatopek,Czechoslovakia
Jack Nicklaus,U.S.
Sugar Ray Robinson,U.S.
Billie-Jean King,U.S.
Shane Warne,Australia
Jesse Owens,U.S.
Eddy Merckx,Belgium
Paavo Nurmi,Grand Duchy of Finland[2]
Jim Thorpe,U.S.[a]
Bjorn Borg,Sweden
Jim Brown,U.S.
Michael Schumacher,West Germany
Pete Sampras,U.S.
Mick Doohan,Australia
Mike Tyson,U.S.
Jerry Rice,U.S.
Martina Navratilova,Czechoslovakia
Valentino Rossi,Italy
Kelly Slater,U.S.[1]
Nadia Comaneci,Romanian PR[3]
Haile Gebrselassie,Ethiopian Empire
Joe Louis,U.S.
Garfield Sobers,Colony of Barbados
Mark Spitz,U.S.
Viv Richards,British Leeward Islands
Steve Redgrave,England
Wayne Gretzky,Canada
Hicham El Guerrouj,Morocco[2]
Herb Elliott,Australia
Jackie Joyner-Kersee,U.S.[1]
Juan Manuel Fangio,Argentina
Joe Frazier,U.S.
Miguel Indurain,Spain[1]
Joe Montana,U.S.
Wilt Chamberlain,U.S.
Edwin Moses,U.S.[2]
Daley Thompson,England[1]
Wally Lewis,Australia
Jahangir Khan,Pakistan
Arnold Schwarzenegger,Austria[a]
Rafael Nadal,Spain
Sachin Tendulkar,India)
Arnold Palmer,U.S.
Johnny Raper,Australia
Jean-Claude Killy,France
Babe Zaharias,U.S.
John McEnroe,West Germany
Willie Shoemaker,U.S.
Steffi Graf,West Germany
Bo Jackson,U.S.
Kareem Abdul-Jabbar,U.S.
Greg Norman,Australia
Fanny Blankers-Koen,Netherlands
Usain Bolt,Jamaica
Ian Botham,England
Dawn Fraser,Australia
Sergey Bubka,Soviet Union
Janet Evans,U.S.
Shirley Strickland,Western Australia
Brian Lara,Trinidad and Tobago
Roger Bannister,England[1]
Adam Gilchrist,Australia
Shaun White,U.S.
Heather McKay,New South Wales
Chris Evert,U.S.
Annika Sorenstam,Sweden
Ian Thorpe,Australia
Andrew Johns,Australia
